Ticker,ceo,company,ceo_age,ceo_gender,ceo_compensation,glasdoor_ceo_approval,twitter_followers,perc_held_insiders_1,perc_held_institutions1,200_day_mov_avg,5_yr_avg_dividend_yield4,50_day_mov_avg3,1yr_high3,1yr_low3,1yr_change,avg_vol_10mnth,avg_vol_3mnt,beta,book_value_per_share,current_ratio,diluted_eps,ebitda ,enterprise_value3,enterprise_value_ebitda6,enterprise_value_revenue3,float ,forward_pe,gross_profit,last_split_factor,levered_free_cashflow,market_cap,net_income_avi_common,operating_cashflow,operating_margin,peg_ratio1,payout_ratio4,price_book,price_sales,profit_margin ,qrtr_earnings_growth_yoy,qrtr_rev_d=growth_yoy,return_on_assets,return_on_equity,revenue,revenue_per_share,s&p500_52-week_change3,shares_outstanding5,short_perc_float_nov,short_perc_shares_outstanding_nov,short_ratio_nov,total_cash,total_cash_per_share,tot_debt,total_debt_equity,trailing_annual_dividend_rate3,trailing_annual_dividend_yield3,trailing_pe 
AABA,@marissamayer,yahoo,44,0,4,0.85,1624782,,,62.39,,19.63,79.18,19.25,,,12800000,,,,,,,,,,,332800000,,,10200000000,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,@tim_cook,apple,59,1,141.6,0.91,11599990,0.07,60.95,216.31,1.64,253.2,268,142,44.92,21220000,25320000,1.25,20.36,1.54,11.89,76480000000,1190000000,15.62,4.59,4190000000,17.98,98390000000,0.14,42910000000,1210000000,55260000000,69390000000,24.57,2.09,25.23,13.12,4.64,21.24,-3.1,1.8,11.35,55.92,2.60E+11,56.34,13.02,4520000000,0.97,1.04,1.94,1.01E+11,22.63,1.08E+11,119.4,3,1.12,22.48
AMD,@LisaSu,amd,50,0,13.35,0.97,44516,0.8,66.97,31.72,,35.38,41.79,16.03,66.22,52200000,51920000,3.06,1.95,2.1,0.19,557000000,43500000000,78.1,7.22,1110000000,35.92,2490000000,0.5,17880000,44580000000,209000000,171000000,5.91,1.74,0,20.05,7.4,3.47,17.6,9,4.64,12.66,6020000000,5.7,13.02,1140000000,11.06,10.44,2.18,1210000000,1.09,1110000000,51.06,,,204.97
AMZN,@JeffBezos,amazon,55,1,1.68,0.86,1108303,16.12,57.12,1824.88,,1771.32,2035.8,1307,2.6,2790000,2920000,1.57,114.16,1.1,22.57,34190000000,9.24E+11,27.02,3.48,417420000,66.33,93730000000,0.5,22580000000,8.93E+11,11350000000,35330000000,5.39,1.22,0,15.77,3.36,4.27,-26,23.7,5.22,23.73,2.65E+11,539.3,13.02,495800000,0.92,0.77,1.27,43400000000,87.54,74590000000,132,,,79.79
BA,@BoeingCEO,boeing,55,1,23.4,0.79,24172,0.07,70.56,358.19,2.32,358.51,446.01,292.47,2.23,3160000,4380000,1.24,-7.31,1.11,6.64,6560000000,2.21E+11,33.74,2.55,528630000,17.6,19640000000,0.5,-299620000,2.06E+11,3800000000,2720000000,4.98,46.64,120.05,,2.37,4.37,-50.6,-20.5,2.19,,86990000000,153.28,13.02,562790000,1.08,1.08,1.06,10910000000,19.39,25880000000,,7.88,2.14,55.11
BOX,@levie,box,33,1,3.3,0.86,2453163,4.09,68.43,16.76,,16.49,24.93,12.46,-3.02,3230000,2060000,1.4,0.14,0.76,-0.91,-78840000,2950000000,-37.43,4.36,142620000,70.15,434790000,,125850000,2730000000,-133650000,61030000,-19.6,232.75,0,131.22,4.03,-19.76,,13.6,-11.92,-575.83,676390000,4.63,13.02,149480000,4.92,4.73,6.6,200890000,1.34,425650000,2048.84,,,
CRM,@Benioff,,55,,1.5,0.96,1011463,4.59,84.79,153.22,,156.51,167.56,120.16,12.04,5110000,4590000,1.21,22.01,0.97,1.2,2060000000,1.43E+11,69.35,9.72,841960000,52.38,9830000000,0.25,4490000000,1.43E+11,950000000,3880000000,4.68,3.04,0,7.4,9.7,6.45,-69.6,21.8,1.46,6.19,14730000000,19.14,13.02,877000000,,,,6040000000,6.89,6430000000,37.47,,,135.29
CSCO,@ChuckRobbins,cisco,53,1,21.28,0.95,47626,0.07,77.33,51.11,2.93,46.68,58.26,40.25,-7.18,18720000,19210000,1.26,8.12,1.7,2.51,16210000000,1.84E+11,11.32,3.53,4240000000,13.33,32670000000,0.5,11440000000,1.92E+11,11000000000,15660000000,27.77,2,54.76,5.58,3.7,21.15,-17.6,0.7,9.12,28.1,51990000000,11.98,13.02,4240000000,0.89,0.89,1.95,28040000000,6.61,19640000000,57.07,1.38,3.05,18.03
DBX,@drewhouston,dropbox,36,1,110,0.9,279023,8.53,55.8,21.19,,19.4,26.49,17.2,-21.33,3220000,3280000,,1.84,1.2,-0.14,92800000,7550000000,81.35,4.74,225140000,31.34,997000000,,329340000,7680000000,-55600000,465400000,-5.34,1.75,0,10.07,4.83,-3.49,,18.8,-2.58,-7.91,1590000000,3.87,13.02,253940000,,,,1030000000,2.48,901100000,118.16,,,
DELL,@MichaelDell,dell,54,1,2.39,0.94,665791,0.4,86.48,53.82,,52.82,70.55,41.58,-13.88,3880000,2360000,,-2.49,0.71,4.94,8950000000,84670000000,9.46,0.92,229300000,6.94,25280000000,0.55,3290000000,35140000000,3910000000,8150000000,2.84,0.69,0,,0.38,4.25,,1.6,1.37,52.74,91960000000,123.19,13.02,231580000,1.75,0.37,1.82,8550000000,11.8,52390000000,1351.33,,,9.82
